abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary,version
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,Triple Bird Pokémon,70,60,Dodorioドードリオ,Dodrio,85,60,60,110,normal,flying,1,0,"Blue, Red and Yellow"
"['Thick Fat', 'Hydration', 'Ice Body']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,Sea Lion Pokémon,55,65,Pawouパウワウ,Seel,86,45,70,45,water,none,1,0,"Blue, Red and Yellow"
"['Thick Fat', 'Hydration', 'Ice Body']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,Sea Lion Pokémon,80,90,Jugonジュゴン,Dewgong,87,70,95,70,water,ice,1,0,"Blue, Red and Yellow"
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,Sludge Pokémon,50,80,Betbeterベトベター,Grimer,88,40,50,25,poison,poison,1,0,"Blue, Red and Yellow"
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,Sludge Pokémon,75,105,Betbetonベトベトン,Muk,89,65,100,50,poison,poison,1,0,"Blue, Red and Yellow"
"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,Bivalve Pokémon,100,30,Shellderシェルダー,Shellder,90,45,25,40,water,none,1,0,"Blue, Red and Yellow"
"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,Bivalve Pokémon,180,50,Parshenパルシェン,Cloyster,91,85,45,70,water,ice,1,0,"Blue, Red and Yellow"
['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,Gas Pokémon,30,30,Ghosゴース,Gastly,92,100,35,80,ghost,poison,1,0,"Blue, Red and Yellow"
['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,Gas Pokémon,45,45,Ghostゴースト,Haunter,93,115,55,95,ghost,poison,1,0,"Blue, Red and Yellow"
['Cursed Body'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,Shadow Pokémon,80,60,Gangarゲンガー,Gengar,94,170,95,130,ghost,poison,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Sturdy', 'Weak Armor']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,Rock Snake Pokémon,160,35,Iwarkイワーク,Onix,95,30,45,70,rock,ground,1,0,"Blue, Red and Yellow"
"['Insomnia', 'Forewarn', 'Inner Focus']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,Hypnosis Pokémon,45,60,Sleepeスリープ,Drowzee,96,43,90,42,psychic,none,1,0,"Blue, Red and Yellow"
"['Insomnia', 'Forewarn', 'Inner Focus']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,Hypnosis Pokémon,70,85,Sleeperスリーパー,Hypno,97,73,115,67,psychic,none,1,0,"Blue, Red and Yellow"
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,River Crab Pokémon,90,30,Crabクラブ,Krabby,98,25,25,50,water,none,1,0,"Blue, Red and Yellow"
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,130,Pincer Pokémon,115,55,Kinglerキングラー,Kingler,99,50,50,75,water,none,1,0,"Blue, Red and Yellow"
"['Soundproof', 'Static', 'Aftermath']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,30,Ball Pokémon,50,40,Biriridamaビリリダマ,Voltorb,100,55,55,100,electric,none,1,0,"Blue, Red and Yellow"
"['Soundproof', 'Static', 'Aftermath']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,Ball Pokémon,70,60,Marumineマルマイン,Electrode,101,80,80,150,electric,none,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Harvest']",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,40,Egg Pokémon,80,60,Tamatamaタマタマ,Exeggcute,102,60,45,40,grass,psychic,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,105,Coconut Pokémon,85,95,Nassyナッシー,Exeggutor,103,125,75,45,grass,psychic,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Lightningrod', 'Battle Armor']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,50,Lonely Pokémon,95,50,Karakaraカラカラ,Cubone,104,40,50,35,ground,none,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,Bone Keeper Pokémon,110,60,Garagaraガラガラ,Marowak,105,50,80,45,ground,fire,1,0,"Blue, Red and Yellow"
"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,Kicking Pokémon,53,50,Sawamularサワムラー,Hitmonlee,106,35,110,87,fighting,none,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,Punching Pokémon,79,50,Ebiwalarエビワラー,Hitmonchan,107,35,110,76,fighting,none,1,0,"Blue, Red and Yellow"
"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,Licking Pokémon,75,90,Beroringaベロリンガ,Lickitung,108,60,75,30,normal,none,1,0,"Blue, Red and Yellow"
['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,65,Poison Gas Pokémon,95,40,Dogarsドガース,Koffing,109,60,45,35,poison,none,1,0,"Blue, Red and Yellow"
['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,90,Poison Gas Pokémon,120,65,Matadogasマタドガス,Weezing,110,85,70,60,poison,none,1,0,"Blue, Red and Yellow"
"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,85,Spikes Pokémon,95,80,Sihornサイホーン,Rhyhorn,111,30,30,25,ground,rock,1,0,"Blue, Red and Yellow"
"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,130,Drill Pokémon,120,105,Sidonサイドン,Rhydon,112,45,45,40,ground,rock,1,0,"Blue, Red and Yellow"
"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,Egg Pokémon,5,250,Luckyラッキー,Chansey,113,35,105,50,normal,none,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,55,Vine Pokémon,115,65,Monjaraモンジャラ,Tangela,114,100,40,60,grass,none,1,0,"Blue, Red and Yellow"
"['Early Bird', 'Scrappy', 'Inner Focus']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,Parent Pokémon,100,105,Garuraガルーラ,Kangaskhan,115,60,100,100,normal,none,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,40,Dragon Pokémon,70,30,Tattuタッツー,Horsea,116,70,25,60,water,none,1,0,"Blue, Red and Yellow"
"['Poison Point', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,Dragon Pokémon,95,55,Seadraシードラ,Seadra,117,95,45,85,water,none,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,67,Goldfish Pokémon,60,45,Tosakintoトサキント,Goldeen,118,35,50,63,water,none,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,92,Goldfish Pokémon,65,80,Azumaoアズマオウ,Seaking,119,65,80,68,water,none,1,0,"Blue, Red and Yellow"
"['Illuminate', 'Natural Cure', 'Analytic']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,Starshape Pokémon,55,30,Hitodemanヒトデマン,Staryu,120,70,55,85,water,none,1,0,"Blue, Red and Yellow"
"['Illuminate', 'Natural Cure', 'Analytic']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,Mysterious Pokémon,85,60,Starmieスターミー,Starmie,121,100,85,115,water,psychic,1,0,"Blue, Red and Yellow"
"['Soundproof', 'Filter', 'Technician']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,45,Barrier Pokémon,65,40,Barrierdバリヤード,Mr. Mime,122,100,120,90,psychic,fairy,1,0,"Blue, Red and Yellow"
"['Swarm', 'Technician', 'Steadfast']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,110,Mantis Pokémon,80,70,Strikeストライク,Scyther,123,55,80,105,bug,flying,1,0,"Blue, Red and Yellow"
"['Oblivious', 'Forewarn', 'Dry Skin']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,50,Humanshape Pokémon,35,65,Rougelaルージュラ,Jynx,124,115,95,95,ice,psychic,1,0,"Blue, Red and Yellow"
"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,83,Electric Pokémon,57,65,Elebooエレブー,Electabuzz,125,95,85,105,electric,none,1,0,"Blue, Red and Yellow"
"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,95,Spitfire Pokémon,57,65,Booberブーバー,Magmar,126,100,85,93,fire,none,1,0,"Blue, Red and Yellow"
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,155,Stagbeetle Pokémon,120,65,Kailiosカイロス,Pinsir,127,65,90,105,bug,none,1,0,"Blue, Red and Yellow"
"['Intimidate', 'Anger Point', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,Wild Bull Pokémon,95,75,Kentaurosケンタロス,Tauros,128,40,70,110,normal,none,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Rattled']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,10,Fish Pokémon,55,20,Koikingコイキング,Magikarp,129,15,20,80,water,none,1,0,"Blue, Red and Yellow"
"['Intimidate', 'Moxie']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,155,Atrocious Pokémon,109,95,Gyaradosギャラドス,Gyarados,130,70,130,81,water,flying,1,0,"Blue, Red and Yellow"
"['Water Absorb', 'Shell Armor', 'Hydration']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,85,Transport Pokémon,80,130,Laplaceラプラス,Lapras,131,85,95,60,water,ice,1,0,"Blue, Red and Yellow"
"['Limber', 'Imposter']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48,Transform Pokémon,48,48,Metamonメタモン,Ditto,132,48,48,48,normal,none,1,0,"Blue, Red and Yellow"
"['Run Away', 'Adaptability', 'Anticipation']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,Evolution Pokémon,50,55,Eievuiイーブイ,Eevee,133,45,65,55,normal,none,1,0,"Blue, Red and Yellow"
"['Water Absorb', 'Hydration']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,Bubble Jet Pokémon,60,130,Showersシャワーズ,Vaporeon,134,110,95,65,water,none,1,0,"Blue, Red and Yellow"
"['Volt Absorb', 'Quick Feet']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,Lightning Pokémon,60,65,Thundersサンダース,Jolteon,135,110,95,130,electric,none,1,0,"Blue, Red and Yellow"
"['Flash Fire', 'Guts']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,130,Flame Pokémon,60,65,Boosterブースター,Flareon,136,95,110,65,fire,none,1,0,"Blue, Red and Yellow"
"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,Virtual Pokémon,70,65,Porygonポリゴン,Porygon,137,85,75,40,normal,none,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,40,Spiral Pokémon,100,35,Omniteオムナイト,Omanyte,138,90,55,35,rock,water,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,60,Spiral Pokémon,125,70,Omstarオムスター,Omastar,139,115,70,55,rock,water,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,80,Shellfish Pokémon,90,30,Kabutoカブト,Kabuto,140,55,45,55,rock,water,1,0,"Blue, Red and Yellow"
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,115,Shellfish Pokémon,105,60,Kabutopsカブトプス,Kabutops,141,65,70,80,rock,water,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Pressure', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,135,Fossil Pokémon,85,80,Pteraプテラ,Aerodactyl,142,70,95,150,rock,flying,1,0,"Blue, Red and Yellow"
"['Immunity', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,Sleeping Pokémon,65,160,Kabigonカビゴン,Snorlax,143,65,110,30,normal,none,1,0,"Blue, Red and Yellow"
"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,85,Freeze Pokémon,100,90,Freezerフリーザー,Articuno,144,95,125,85,ice,flying,1,1,"Blue, Red and Yellow"
"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,Electric Pokémon,85,90,Thunderサンダー,Zapdos,145,125,90,100,electric,flying,1,1,"Blue, Red and Yellow"
"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,Flame Pokémon,90,90,Fireファイヤー,Moltres,146,125,85,90,fire,flying,1,1,"Blue, Red and Yellow"
"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,64,Dragon Pokémon,45,41,Miniryuミニリュウ,Dratini,147,50,50,50,dragon,none,1,0,"Blue, Red and Yellow"
"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,84,Dragon Pokémon,65,61,Hakuryuハクリュー,Dragonair,148,70,70,70,dragon,none,1,0,"Blue, Red and Yellow"
"['Inner Focus', 'Multiscale']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,134,Dragon Pokémon,95,91,Kairyuカイリュー,Dragonite,149,100,100,80,dragon,flying,1,0,"Blue, Red and Yellow"
"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,Genetic Pokémon,70,106,Mewtwoミュウツー,Mewtwo,150,194,120,140,psychic,none,1,1,"Blue, Red and Yellow"
['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,New Species Pokémon,100,100,Mewミュウ,Mew,151,100,100,100,psychic,none,1,1,"Blue, Red and Yellow"
"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,49,Leaf Pokémon,65,45,Chicoritaチコリータ,Chikorita,152,49,65,45,grass,none,2,0,"Gold, Silver and Crystal"
"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,62,Leaf Pokémon,80,60,Bayleafベイリーフ,Bayleef,153,63,80,60,grass,none,2,0,"Gold, Silver and Crystal"
"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,82,Herb Pokémon,100,80,Meganiumメガニウム,Meganium,154,83,100,80,grass,none,2,0,"Gold, Silver and Crystal"
"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,Fire Mouse Pokémon,43,39,Hinoarashiヒノアラシ,Cyndaquil,155,60,50,65,fire,none,2,0,"Gold, Silver and Crystal"
"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,Volcano Pokémon,58,58,Magmarashiマグマラシ,Quilava,156,80,65,80,fire,none,2,0,"Gold, Silver and Crystal"
"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,84,Volcano Pokémon,78,78,Bakphoonバクフーン,Typhlosion,157,109,85,100,fire,none,2,0,"Gold, Silver and Crystal"
"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,Big Jaw Pokémon,64,50,Waninokoワニノコ,Totodile,158,44,48,43,water,none,2,0,"Gold, Silver and Crystal"
"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,80,Big Jaw Pokémon,80,65,Alligatesアリゲイツ,Croconaw,159,59,63,58,water,none,2,0,"Gold, Silver and Crystal"
"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,Big Jaw Pokémon,100,85,Ordileオーダイル,Feraligatr,160,79,83,78,water,none,2,0,"Gold, Silver and Crystal"
"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46,Scout Pokémon,34,35,Otachiオタチ,Sentret,161,35,45,20,normal,none,2,0,"Gold, Silver and Crystal"
"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76,Long Body Pokémon,64,85,Ootachiオオタチ,Furret,162,45,55,90,normal,none,2,0,"Gold, Silver and Crystal"
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30,Owl Pokémon,30,60,Hohoホーホー,Hoothoot,163,36,56,50,normal,flying,2,0,"Gold, Silver and Crystal"
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,50,Owl Pokémon,50,100,Yorunozukuヨルノズク,Noctowl,164,86,96,70,normal,flying,2,0,"Gold, Silver and Crystal"
"['Swarm', 'Early Bird', 'Rattled']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,20,Five Star Pokémon,30,40,Redibaレディバ,Ledyba,165,40,80,55,bug,flying,2,0,"Gold, Silver and Crystal"
"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,35,Five Star Pokémon,50,55,Redianレディアン,Ledian,166,55,110,85,bug,flying,2,0,"Gold, Silver and Crystal"
"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,60,String Spit Pokémon,40,40,Itomaruイトマル,Spinarak,167,40,40,30,bug,poison,2,0,"Gold, Silver and Crystal"
"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,90,Long Leg Pokémon,70,70,Ariadosアリアドス,Ariados,168,60,70,40,bug,poison,2,0,"Gold, Silver and Crystal"
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,90,Bat Pokémon,80,85,Crobatクロバット,Crobat,169,70,80,130,poison,flying,2,0,"Gold, Silver and Crystal"
"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,38,Angler Pokémon,38,75,Chonchieチョンチー,Chinchou,170,56,56,67,water,electric,2,0,"Gold, Silver and Crystal"
"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,58,Light Pokémon,58,125,Lanternランターン,Lanturn,171,76,76,67,water,electric,2,0,"Gold, Silver and Crystal"
